Element,distance xi (Ã…),energy Di kcal/mol
Ac,3.478,0.033
Ag,3.148,0.036
Al,4.499,0.505
Am,3.381,0.014
Ar,3.868,0.185
As,4.23,0.309
At,4.75,0.284
Au,3.293,0.039
B,4.083,0.18
Ba,3.703,0.364
Be,2.745,0.085
Bi,4.37,0.518
Bk,3.339,0.013
Br,4.189,0.251
C,3.851,0.105
Ca,3.399,0.238
Cd,2.848,0.228
Ce,3.556,0.013
Cf,3.313,0.013
Cl,3.947,0.227
Cm,3.326,0.013
Co,2.872,0.014
Cr,3.023,0.015
Cs,4.517,0.045
Cu,3.495,0.005
Dy,3.428,0.007
Er,3.391,0.007
Es,3.299,0.012
Eu,3.493,0.008
F,3.364,0.05
Fe,2.912,0.013
Fm,3.286,0.012
Fr,4.9,0.05
Ga,4.383,0.415
Gd,3.368,0.009
Ge,4.28,0.379
H,2.886,0.044
He,2.362,0.056
Hf,3.141,0.072
Hg,2.705,0.385
Ho,3.409,0.007
I,4.5,0.339
In,4.463,0.599
Ir,2.84,0.073
K,3.812,0.035
Kr,4.141,0.22
La,3.522,0.017
Li,2.451,0.025
Lu,3.64,0.041
Lw,3.236,0.011
Md,3.274,0.011
Mg,3.021,0.111
Mn,2.961,0.013
Mo,3.052,0.056
N,3.66,0.069
Na,2.983,0.03
Nb,3.165,0.059
Nd,3.575,0.01
Ne,3.243,0.042
Ni,2.834,0.015
No,3.248,0.011
Np,3.424,0.019
O,3.5,0.06
Os,3.12,0.037
P,4.147,0.305
Pa,3.424,0.022
Pb,4.297,0.663
Pd,2.899,0.048
Pm,3.547,0.009
Po,4.709,0.325
Pr,3.606,0.01
Pt,2.754,0.08
Pu,3.424,0.016
Ra,3.677,0.404
Rb,4.114,0.04
Re,2.954,0.066
Rh,2.929,0.053
Rn,4.765,0.248
Ru,2.963,0.056
S,4.035,0.274
Sb,4.42,0.449
Sc,3.295,0.019
Se,4.205,0.291
SI,4.295,0.402
Sm,3.52,0.008
Sn,4.392,0.567
Sr,3.641,0.235
Ta,3.17,0.081
Tb,3.451,0.007
Tc,2.998,0.048
Te,4.47,0.398
Th,3.396,0.026
Ti,3.175,0.017
Tl,4.347,0.68
Tm,3.374,0.006
U,3.395,0.022
V,3.144,0.016
W,3.069,0.067
Xe,4.404,0.332
Y,3.345,0.072
Yb,3.355,0.228
Zn,2.763,0.124
Zr,3.124,0.069
